posisi,tim,gameplay,poin,form
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
17,Torino,38,37,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
18,Benevento,38,33,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
19,Crotone,38,23,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
